rank,player,country,points,record,owr,oowp,deck,player_url
1,James Kowalski,US,49,16 - 1 - 1,67.84%,64.96%,clefairy,https://play.limitlesstcg.net/0070/player/2083
2,Neddy Kosek,CZ,45,15 - 3 - 0,61.76%,58.40%,dragapult,https://play.limitlesstcg.net/0070/player/2922
3,Justin Newdorf,US,41,13 - 2 - 2,70.20%,61.08%,dragapult,https://play.limitlesstcg.net/0070/player/0795
4,Ross Cawthon,US,41,13 - 2 - 2,64.99%,60.72%,slowking,https://play.limitlesstcg.net/0070/player/3526
5,Rahul Reddy,US,39,12 - 1 - 3,69.43%,62.30%,crustle,https://play.limitlesstcg.net/0070/player/1519
6,Jon Webb,US,39,13 - 3 - 0,57.93%,58.03%,dragapult,https://play.limitlesstcg.net/0070/player/3143
7,Juho Kallama,FI,38,12 - 2 - 2,67.73%,60.78%,mewtwo,https://play.limitlesstcg.net/0070/player/0558
8,Miguel Angel Marin Herrera,MX,38,12 - 2 - 2,67.11%,62.74%,dragapult,https://play.limitlesstcg.net/0070/player/3286
9,Abaan Ahmed,US,35,11 - 2 - 2,67.65%,61.71%,dragapult,https://play.limitlesstcg.net/0070/player/1497
10,Tord Reklev,NO,35,11 - 2 - 2,67.53%,62.01%,zoroark,https://play.limitlesstcg.net/0070/player/1095
11,Caleb Rogerson,US,35,11 - 2 - 2,63.01%,61.33%,dragapult,https://play.limitlesstcg.net/0070/player/0030
12,Jackson Ford,CA,34,11 - 2 - 1,66.84%,61.27%,dragapult,https://play.limitlesstcg.net/0070/player/3670
13,NATALIE Millar,AU,34,11 - 2 - 1,65.47%,59.71%,dragapult,https://play.limitlesstcg.net/0070/player/3486
14,Liam Halliburton,US,34,11 - 2 - 1,64.29%,61.24%,zoroark,https://play.limitlesstcg.net/0070/player/0010
15,Henry Chao,US,34,11 - 2 - 1,62.86%,57.92%,dragapult,https://play.limitlesstcg.net/0070/player/3281
16,Leonardo Lattanzi,IT,34,11 - 2 - 1,62.69%,60.89%,dragapult,https://play.limitlesstcg.net/0070/player/3595
17,Andrew Hedrick,US,34,11 - 2 - 1,60.88%,59.30%,dragapult,https://play.limitlesstcg.net/0070/player/3196
18,Mees Brenninkmeijer,NL,34,11 - 2 - 1,59.32%,56.18%,ogerpon,https://play.limitlesstcg.net/0070/player/1444
19,Lucas Xing,CA,34,11 - 2 - 1,56.05%,58.67%,zoroark,https://play.limitlesstcg.net/0070/player/1407
20,Nicholas Cucinelli,US,33,11 - 3 - 0,67.79%,60.83%,ogerpon,https://play.limitlesstcg.net/0070/player/2901
21,Aurora Viets,US,33,11 - 3 - 0,65.63%,61.47%,dragapult,https://play.limitlesstcg.net/0070/player/1227
22,Paolo Camus,FR,33,11 - 3 - 0,65.24%,62.03%,dragapult,https://play.limitlesstcg.net/0070/player/1048
23,Connor Cockerham,US,33,11 - 3 - 0,64.12%,59.52%,clefairy,https://play.limitlesstcg.net/0070/player/0444
24,Isaac Alexander Martinez Mendoza,MX,33,11 - 3 - 0,62.76%,63.00%,slowking,https://play.limitlesstcg.net/0070/player/2373
25,Grant Walworth,US,33,10 - 1 - 3,61.84%,55.99%,ogerpon,https://play.limitlesstcg.net/0070/player/0920
26,Hale Obernolte,US,33,10 - 1 - 3,60.89%,61.68%,crustle,https://play.limitlesstcg.net/0070/player/2454
27,Daniel Powell,UK,33,11 - 3 - 0,60.83%,58.99%,dragapult,https://play.limitlesstcg.net/0070/player/2722
28,Ben Dobberstein,US,33,11 - 3 - 0,60.19%,58.40%,ogerpon,https://play.limitlesstcg.net/0070/player/2114
29,Luke Morsa,US,33,11 - 3 - 0,58.93%,59.93%,zoroark,https://play.limitlesstcg.net/0070/player/3721
30,Carter Malnaik,US,32,10 - 2 - 2,70.28%,63.73%,crustle,https://play.limitlesstcg.net/0070/player/0458
31,Jack Moore,CA,32,10 - 2 - 2,65.60%,61.26%,dragapult,https://play.limitlesstcg.net/0070/player/3422
32,Caleb Gedemer,US,32,10 - 2 - 2,64.73%,61.03%,dragapult,https://play.limitlesstcg.net/0070/player/3655
33,Blake Underhill,US,32,10 - 2 - 2,64.12%,58.49%,dragapult,https://play.limitlesstcg.net/0070/player/0464
34,Rowan Stavenow,CA,32,10 - 2 - 2,63.78%,59.86%,dragapult,https://play.limitlesstcg.net/0070/player/2633
35,Benjamin Martinsen,NO,32,10 - 2 - 2,63.31%,57.24%,zoroark,https://play.limitlesstcg.net/0070/player/1582
36,Diego Cassiraga,AR,32,9 - 0 - 5,62.76%,61.05%,alakazam,https://play.limitlesstcg.net/0070/player/0165
37,Christopher Carillon,US,32,9 - 0 - 5,61.73%,59.22%,crustle,https://play.limitlesstcg.net/0070/player/3488
38,Elmar Tresp,DE,32,9 - 0 - 5,61.59%,58.55%,dragapult,https://play.limitlesstcg.net/0070/player/0697
39,Daichi Shimada,JP,32,10 - 2 - 2,61.20%,60.64%,dragapult,https://play.limitlesstcg.net/0070/player/3282
40,Ãjvind Svinhufvud,FI,32,10 - 2 - 2,60.39%,58.16%,zoroark,https://play.limitlesstcg.net/0070/player/2724
41,Francisco Osorio,CL,32,10 - 2 - 2,60.03%,59.18%,dragapult,https://play.limitlesstcg.net/0070/player/0231
42,Aarni Karjala,FI,32,10 - 2 - 2,59.69%,55.42%,dragapult,https://play.limitlesstcg.net/0070/player/2864
43,Jack Saunders,CA,32,10 - 2 - 2,59.18%,56.70%,dragapult,https://play.limitlesstcg.net/0070/player/0419
44,Matthew Burris,AU,32,10 - 2 - 2,59.04%,59.61%,dragapult,https://play.limitlesstcg.net/0070/player/0976
45,Jeffrey Deka,CA,32,10 - 2 - 2,58.48%,57.21%,zoroark,https://play.limitlesstcg.net/0070/player/3711
46,Evan Zhu,CA,32,10 - 2 - 2,58.04%,57.30%,zoroark,https://play.limitlesstcg.net/0070/player/2608
